dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test;description
145;12;BEST_CATEGORY_EACH_SERIE;0.13916183413041242;54.54545454545455;0.1244967172907523;29.27471288957033;0.12446218320691715;22.52694883283333;[201.393, 199.265, 158.938, 156.126, 190.67, 222.187, 199.026, 207.646, 155.249, 138.27, 175.832, 180.13];[186.23679969799997, 196.314819774, 187.20922926600002, 198.86202427, 192.83273593799998, 202.446476666, 205.89549669999997, 206.173451506, 204.211499576, 198.43039507400002, 203.248170478, 194.55538233599998];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_DWT_catboost, rf: CWT_rf, svr: FT_svr, naive: NaiveMovingAverage
146;12;BEST_CATEGORY_EACH_SERIE;0.042997267848926136;63.63636363636363;0.04280350919041929;7688.481088526672;0.0428034963192328;7142.4510603125045;[143607.293, 147712.235, 176621.272, 166769.611, 155317.504, 155850.505, 174745.061, 183419.642, 177192.763, 165721.538, 180694.769, 158468.817];[150447.2179678, 150430.330486998, 162908.14563024597, 176750.838366656, 160694.082949856, 162832.840420774, 166832.31685282598, 179180.766894954, 182760.846598668, 175845.17772172802, 173982.62062333, 164011.450212626];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: FT_catboost, rf: ONLY_FT_rf, svr: FT_svr, naive: NaiveMovingAverage
147;12;BEST_CATEGORY_EACH_SERIE;0.06877063629161255;81.81818181818181;0.0690062618003822;2346.1391243122657;0.06900615504879011;2239.0919444208344;[31363.6, 31212.5, 28317.5, 30701.771, 34640.5, 34688.64, 27921.0, 31770.5, 34318.0, 33946.3, 37734.45, 35245.0];[33383.929666586, 32488.720490518004, 30939.736733294005, 33294.596813784, 31415.475685838, 32987.587088251996, 30384.395139309996, 30134.98901515, 32521.344464956004, 32084.404825842, 33919.209827478, 33386.283602926];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_DWT_catboost, rf: DWT_rf, svr: DWT_svr, naive: NaiveSeasonal
148;12;BEST_CATEGORY_EACH_SERIE;0.037840853106839656;100.0;0.03867299981776453;156.3226179750331;0.03867241177833207;127.37439136350004;[3443.972826, 3268.719203, 2955.077899, 3282.096014, 3212.652174, 3515.030797, 3175.797101, 3576.75, 3255.619565, 3040.913043, 3430.356884, 3415.893116];[3306.8148851240003, 3121.538233506, 3083.6451669200005, 3270.700302572, 3161.912059744, 3310.285331256, 3199.46257885, 3262.063553118, 3245.166379088, 3136.437102272, 3250.864618318, 3191.009324954];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: DWT_catboost, rf: FT_rf, svr: ONLY_DWT_svr, naive: NaiveSeasonal
149;12;BEST_CATEGORY_EACH_SERIE;0.4025584885989155;45.45454545454545;0.5092615985025939;13607.21538304008;0.5092606082024197;13149.181388591334;[27759.2, 25894.6, 32664.6, 38779.0, 33997.5, 29894.4, 32024.3, 33523.3, 32304.594, 29949.8, 34880.6, 33943.5];[21474.868865685996, 17833.167965017998, 17170.401626788, 19559.097768484, 18767.102216872, 19199.633145388, 19082.304728708, 17873.641777744, 19098.124365236, 19349.403626602, 19442.213020086, 18975.258230292];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: FT_rf, svr: DWT_svr, naive: NaiveMovingAverage
150;12;BEST_CATEGORY_EACH_SERIE;0.028404702399273864;63.63636363636363;0.02858687547291899;746.8271731128275;0.028586809422068118;619.468244079167;[21710.94746, 21828.88225, 19417.10688, 20128.1413, 21399.18841, 22469.04167, 21950.60507, 23234.82609, 23498.74638, 21387.5, 22837.7808, 21121.77355];[21875.187302056, 20752.475472172002, 19345.878338733997, 21472.623312596, 20558.0409803, 21587.704705226, 21906.717113439998, 22706.960362212, 22858.136552914, 21841.516725158002, 21725.556756694, 21397.946630832];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: DWT_catboost, rf: FT_rf, svr: svr, naive: NaiveSeasonal
151;12;BEST_CATEGORY_EACH_SERIE;0.03952637862231854;63.63636363636363;0.04035618075054637;2458.791543798857;0.04035614047632587;2024.022000862334;[47791.38768, 49352.25543, 47231.15217, 47780.96558, 50456.8442, 50407.00181, 49276.56703, 54664.31703, 54278.56703, 46677.86051, 50811.71377, 50234.0942];[49738.974254821995, 48494.194705374, 46574.023881871995, 49788.408037614, 47994.223924746, 49009.614641576, 48833.207402438, 49588.127481556, 49784.859203124, 47423.15437542, 48646.064990597995, 48200.255326223996];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_CWT_catboost, rf: DWT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
152;12;BEST_CATEGORY_EACH_SERIE;0.035328375465972346;90.9090909090909;0.03594735750361848;661.8244767404469;0.035947240806796114;554.0387770818332;[14956.63587, 15702.7192, 14401.98732, 14755.63406, 15492.0779, 16051.60688, 15321.30254, 16277.81341, 15645.9058, 14530.19384, 16546.16304, 15335.68478];[15082.239123242, 15158.868404751998, 14917.575168508, 15134.650545298, 15029.10798106, 15229.351603686, 15222.58620845, 15314.618278962002, 15184.512207218, 15027.367745592, 15080.091149132, 15023.053884398];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: ONLY_FT_catboost, rf: ONLY_FT_rf, svr: ONLY_FT_svr, naive: NaiveMovingAverage
153;12;BEST_CATEGORY_EACH_SERIE;0.03339093154268208;72.72727272727273;0.033977773253461345;29246.334494220326;0.033977770841704884;24053.980858733354;[653086.38, 617924.879, 603263.692, 659089.707, 718650.739, 723260.459, 702023.283, 788296.564, 778885.317, 737505.601, 770063.767, 686962.446];[631648.951788922, 606825.01310075, 614729.3367516799, 689940.2411687861, 670987.23677668, 700030.2905114179, 697026.976581914, 725691.8166144519, 751878.905047296, 727546.7032947659, 739082.6878074061, 694315.6299079381];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: CWT_catboost, rf: FT_rf, svr: svr, naive: NaiveMovingAverage
154;12;BEST_CATEGORY_EACH_SERIE;0.19390061188916197;72.72727272727273;0.21745140790611037;6350.862123867287;0.21745101067445158;5961.581359547;[30441.699, 30220.434, 29050.05, 33112.407, 32349.39, 29935.683, 27325.833, 28840.871, 28939.365, 29178.862, 32504.115, 32313.293];[25835.302205204, 23679.137714348, 22112.046651188, 23171.966224044, 22823.944029886003, 23445.382036902003, 24206.996554216, 25009.970294714003, 24379.512600658003, 26047.997376879997, 27203.51243307, 24757.257564326];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: DWT_rf, svr: ONLY_DWT_svr, naive: NaiveMovingAverage
155;12;BEST_CATEGORY_EACH_SERIE;0.10249843756899511;72.72727272727273;0.09976435385441684;17.54840209788132;0.09972961008514225;14.433779157499993;[165.294, 139.696, 163.009, 140.918, 155.074, 128.163, 156.849, 141.042, 176.277, 108.633, 158.057, 130.791];[144.108202096, 139.583934396, 148.607274402, 146.289667128, 148.949243342, 152.43587540200002, 151.67864119400002, 148.717212728, 148.297090598, 142.518446804, 143.64237542, 143.401909276];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: rf, svr: FT_svr, naive: NaiveMovingAverage
156;12;BEST_CATEGORY_EACH_SERIE;0.11653890604515878;72.72727272727273;0.11767450166778133;13.69962792540893;0.11761782110684808;12.292199088999999;[112.555, 122.337, 111.546, 96.549, 107.288, 118.159, 107.692, 89.275, 118.495, 123.29, 95.99, 79.333];[103.823255554, 102.564329922, 100.478397984, 104.343338228, 102.68413318200001, 103.729966508, 102.199856146, 99.108347518, 100.685440934, 103.41438537400002, 101.715521594, 101.70394733200001];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_DWT_catboost, rf: ONLY_FT_rf, svr: svr, naive: NaiveMovingAverage
