dataset,dataset_index,accept_confidence,selection_verdict,selection_margin,selection_dm_pvalue,bootstrap_reliable
M4_WEEKLY_DATASET,345,0.9,indistinguishable,0.05302,0.6612,False
M4_WEEKLY_DATASET,347,0.8,indistinguishable,0.00276,0.886,False
M4_WEEKLY_DATASET,349,0.9,indistinguishable,0.00748,0.8034,False
M4_WEEKLY_DATASET,350,0.9,indistinguishable,0.00927,0.4446,False
M4_WEEKLY_DATASET,351,0.9,separated,0.00602,0.0412,False
M4_WEEKLY_DATASET,353,0.7,indistinguishable,0.00521,0.5267,False
ETTH1,0,0.9,indistinguishable,0.01845,0.2154,False
ETTH1,3,0.9,indistinguishable,0.02539,0.1038,False
ETTH1,4,0.9,separated,0.10922,0.0006,False
ETTH1,6,0.9,indistinguishable,8e-05,0.5758,False
ETTH2,2,0.8,indistinguishable,1e-05,0.8121,False
ETTH2,3,0.9,separated,0.11379,0.0,False
ETTM1,1,0.9,separated,0.15558,0.0168,False
ETTM1,2,0.9,indistinguishable,0.04443,0.1353,False
ETTM1,3,0.9,separated,0.02313,0.0234,False
ETTM1,4,0.9,separated,0.02992,0.0,False
ETTM1,5,0.9,separated,0.00519,0.0001,False
ETTM1,6,0.9,separated,0.06563,0.032,False
ETTM2,0,0.9,separated,0.00081,0.0002,False
ETTM2,5,0.9,indistinguishable,0.03053,0.316,False
ETTM2,6,0.9,separated,0.10496,0.0,False
