dataset,dataset_index,score_final,melhor_score_semeado,diferenca
NN5_WEEKLY_DATASET,18,0.703367,0.7048,-0.0014330000000000176
NN5_WEEKLY_DATASET,19,0.729164,0.7533,-0.024135999999999935
NN5_WEEKLY_DATASET,20,0.706422,0.7064,2.199999999996649e-05
NN5_WEEKLY_DATASET,21,0.692706,0.6952,-0.0024939999999999962
NN5_WEEKLY_DATASET,22,0.586683,0.5881,-0.0014170000000000016
NN5_WEEKLY_DATASET,23,0.677957,0.678,-4.300000000001525e-05
NN5_WEEKLY_DATASET,24,0.652878,0.6866,-0.03372200000000003
NN5_WEEKLY_DATASET,25,0.706886,0.7377,-0.030814000000000008
NN5_WEEKLY_DATASET,26,0.410205,0.6476,-0.23739499999999997
NN5_WEEKLY_DATASET,27,0.658552,0.6592,-0.0006479999999999819
NN5_WEEKLY_DATASET,28,0.682811,0.6828,1.0999999999983245e-05
NN5_WEEKLY_DATASET,29,0.550419,0.5504,1.8999999999991246e-05
NN5_WEEKLY_DATASET,30,0.638438,0.6497,-0.011262000000000105
NN5_WEEKLY_DATASET,31,0.664247,0.6642,4.700000000001925e-05
NN5_WEEKLY_DATASET,32,0.665536,0.6655,3.6000000000036e-05
NN5_WEEKLY_DATASET,33,0.597185,0.5972,-1.4999999999987246e-05
NN5_WEEKLY_DATASET,34,0.627351,0.6382,-0.010848999999999998
NN5_WEEKLY_DATASET,35,0.616459,0.7143,-0.09784100000000007
NN5_WEEKLY_DATASET,36,0.53678,0.5368,-2.0000000000020002e-05
NN5_WEEKLY_DATASET,37,0.647619,0.6476,1.8999999999991246e-05
NN5_WEEKLY_DATASET,38,0.594109,0.6694,-0.075291
NN5_WEEKLY_DATASET,39,0.700758,0.702,-0.0012419999999999654
NN5_WEEKLY_DATASET,40,0.569534,0.6571,-0.08756600000000003
NN5_WEEKLY_DATASET,41,0.713366,0.7153,-0.0019340000000001023
NN5_WEEKLY_DATASET,42,0.59336,0.6508,-0.05744000000000005
NN5_WEEKLY_DATASET,43,0.67619,0.6762,-1.0000000000065512e-05
NN5_WEEKLY_DATASET,44,0.702295,0.7025,-0.00020500000000001073
NN5_WEEKLY_DATASET,45,0.591555,0.5916,-4.499999999996174e-05
NN5_WEEKLY_DATASET,46,0.6623,0.6623,0.0
NN5_WEEKLY_DATASET,47,0.693665,0.6937,-3.500000000000725e-05
NN5_WEEKLY_DATASET,48,0.61925,0.6365,-0.017249999999999988
NN5_WEEKLY_DATASET,49,0.634733,0.6347,3.2999999999949736e-05
NN5_WEEKLY_DATASET,50,0.716387,0.7164,-1.3000000000040757e-05
NN5_WEEKLY_DATASET,51,0.67947,0.6851,-0.005630000000000024
NN5_WEEKLY_DATASET,52,0.663818,0.6638,1.8000000000073513e-05
NN5_WEEKLY_DATASET,53,0.584708,0.601,-0.016291999999999973
NN5_WEEKLY_DATASET,54,0.699876,0.706,-0.006123999999999907
NN5_WEEKLY_DATASET,55,0.621413,0.6383,-0.016886999999999985
NN5_WEEKLY_DATASET,56,0.594976,0.7068,-0.11182400000000003
NN5_WEEKLY_DATASET,57,0.593251,0.6266,-0.03334900000000007
NN5_WEEKLY_DATASET,58,0.661531,0.6786,-0.017069
NN5_WEEKLY_DATASET,59,0.658212,0.6582,1.2000000000012001e-05
NN5_WEEKLY_DATASET,60,0.646157,0.6651,-0.018943000000000043
NN5_WEEKLY_DATASET,61,0.637311,0.7112,-0.0738890000000001
NN5_WEEKLY_DATASET,62,0.672241,0.7333,-0.061058999999999974
NN5_WEEKLY_DATASET,63,0.675858,0.7079,-0.032042000000000015
NN5_WEEKLY_DATASET,64,0.71464,0.7146,4.0000000000040004e-05
NN5_WEEKLY_DATASET,65,0.695238,0.6952,3.799999999998249e-05
NN5_WEEKLY_DATASET,66,0.707836,0.7302,-0.02236399999999994
NN5_WEEKLY_DATASET,67,0.566304,0.6186,-0.05229600000000001
NN5_WEEKLY_DATASET,68,0.724069,0.7257,-0.001631000000000049
NN5_WEEKLY_DATASET,69,0.695238,0.6952,3.799999999998249e-05
NN5_WEEKLY_DATASET,70,0.645776,0.6639,-0.01812400000000003
NN5_WEEKLY_DATASET,71,0.685714,0.6857,1.4000000000069512e-05
NN5_WEEKLY_DATASET,72,0.678049,0.678,4.899999999996574e-05
NN5_WEEKLY_DATASET,73,0.65167,0.6572,-0.005530000000000035
NN5_WEEKLY_DATASET,74,0.638836,0.6388,3.599999999992498e-05
NN5_WEEKLY_DATASET,75,0.381137,0.6142,-0.23306299999999996
NN5_WEEKLY_DATASET,76,0.577106,0.6353,-0.05819399999999997
NN5_WEEKLY_DATASET,77,0.583264,0.6205,-0.03723600000000005
NN5_WEEKLY_DATASET,78,0.628214,0.6446,-0.0163859999999999
NN5_WEEKLY_DATASET,79,0.629606,0.6857,-0.05609399999999998
NN5_WEEKLY_DATASET,80,0.617504,0.6338,-0.016295999999999977
NN5_WEEKLY_DATASET,81,0.656897,0.6569,-3.000000000086267e-06
NN5_WEEKLY_DATASET,82,0.705159,0.7334,-0.02824100000000007
NN5_WEEKLY_DATASET,83,0.685714,0.6857,1.4000000000069512e-05
NN5_WEEKLY_DATASET,84,0.664521,0.6932,-0.02867900000000001
NN5_WEEKLY_DATASET,85,0.636967,0.6857,-0.048733000000000026
NN5_WEEKLY_DATASET,86,0.656199,0.6562,-1.0000000000287557e-06
NN5_WEEKLY_DATASET,87,0.702502,0.7025,1.999999999946489e-06
NN5_WEEKLY_DATASET,88,0.648827,0.6488,2.6999999999999247e-05
NN5_WEEKLY_DATASET,89,0.624074,0.6878,-0.06372599999999995
NN5_WEEKLY_DATASET,90,0.614772,0.6453,-0.030528
NN5_WEEKLY_DATASET,91,0.599538,0.6544,-0.054861999999999966
NN5_WEEKLY_DATASET,92,0.670758,0.6734,-0.002642000000000033
NN5_WEEKLY_DATASET,93,0.534164,0.6667,-0.132536
NN5_WEEKLY_DATASET,94,0.619427,0.6366,-0.017173000000000105
NN5_WEEKLY_DATASET,95,0.657629,0.6667,-0.00907099999999994
NN5_WEEKLY_DATASET,96,0.464964,0.5005,-0.035535999999999957
NN5_WEEKLY_DATASET,97,0.687523,0.706,-0.018476999999999966
NN5_WEEKLY_DATASET,98,0.623074,0.6952,-0.07212600000000002
NN5_WEEKLY_DATASET,99,0.467062,0.51,-0.04293800000000003
NN5_WEEKLY_DATASET,100,0.65808,0.7129,-0.05481999999999998
NN5_WEEKLY_DATASET,101,0.626974,0.627,-2.599999999997049e-05
NN5_WEEKLY_DATASET,102,0.709011,0.709,1.0999999999983245e-05
NN5_WEEKLY_DATASET,103,0.695238,0.6952,3.799999999998249e-05
NN5_WEEKLY_DATASET,104,0.679628,0.6796,2.8000000000028002e-05
NN5_WEEKLY_DATASET,105,0.658267,0.6583,-3.2999999999949736e-05
NN5_WEEKLY_DATASET,106,0.57074,0.58,-0.009259999999999935
NN5_WEEKLY_DATASET,107,0.601261,0.6739,-0.07263900000000001
NN5_WEEKLY_DATASET,108,0.67619,0.6762,-1.0000000000065512e-05
NN5_WEEKLY_DATASET,109,0.585938,0.6762,-0.09026200000000006
NN5_WEEKLY_DATASET,110,0.620915,0.6221,-0.0011849999999999916
M4_WEEKLY_DATASET,0,0.040866,0.044,-0.003133999999999998
M4_WEEKLY_DATASET,1,-0.048154,-0.0246,-0.023554000000000002
M4_WEEKLY_DATASET,2,-0.140062,-0.1401,3.800000000001025e-05
M4_WEEKLY_DATASET,3,0.339101,0.3904,-0.05129900000000004
M4_WEEKLY_DATASET,4,0.223637,0.339,-0.11536300000000002
M4_WEEKLY_DATASET,5,0.401489,0.4352,-0.03371099999999999
M4_WEEKLY_DATASET,6,0.529415,0.5294,1.4999999999987246e-05
M4_WEEKLY_DATASET,7,0.569668,0.5697,-3.2000000000032e-05
M4_WEEKLY_DATASET,8,0.372167,0.4003,-0.028132999999999964
M4_WEEKLY_DATASET,9,0.025504,0.028,-0.0024960000000000017
M4_WEEKLY_DATASET,10,0.12075,0.1911,-0.07035
M4_WEEKLY_DATASET,11,0.670084,0.6833,-0.013216000000000006
M4_WEEKLY_DATASET,12,0.521228,0.5726,-0.05137199999999997
M4_WEEKLY_DATASET,13,0.165495,0.1655,-5.0000000000050004e-06
M4_WEEKLY_DATASET,14,0.473017,0.473,1.7000000000044757e-05
M4_WEEKLY_DATASET,15,0.47751,0.4775,1.0000000000010001e-05
M4_WEEKLY_DATASET,16,-0.053542,-0.045,-0.008542000000000001
M4_WEEKLY_DATASET,17,0.001345,0.0013,4.500000000000012e-05
M4_WEEKLY_DATASET,18,0.360174,0.3602,-2.6000000000026002e-05
M4_WEEKLY_DATASET,19,0.620509,0.6556,-0.03509099999999998
M4_WEEKLY_DATASET,20,0.400706,0.476,-0.07529399999999997
M4_WEEKLY_DATASET,21,0.384644,0.3965,-0.011856000000000033
M4_WEEKLY_DATASET,22,0.332922,0.3382,-0.005278000000000005
M4_WEEKLY_DATASET,23,0.430224,0.4302,2.399999999996849e-05
M4_WEEKLY_DATASET,24,0.585177,0.5852,-2.300000000010627e-05
M4_WEEKLY_DATASET,25,0.465596,0.5016,-0.036004000000000036
M4_WEEKLY_DATASET,26,0.582458,0.5825,-4.199999999998649e-05
M4_WEEKLY_DATASET,27,0.354208,0.3946,-0.040391999999999983
M4_WEEKLY_DATASET,28,0.277849,0.322,-0.044150999999999996
M4_WEEKLY_DATASET,29,0.592323,0.5936,-0.0012769999999999726
M4_WEEKLY_DATASET,30,0.53852,0.5565,-0.017979999999999996
M4_WEEKLY_DATASET,31,0.521717,0.5909,-0.069183
M4_WEEKLY_DATASET,32,0.341205,0.4053,-0.06409500000000001
M4_WEEKLY_DATASET,33,0.414339,0.4741,-0.05976100000000001
M4_WEEKLY_DATASET,34,0.60441,0.6044,9.99999999995449e-06
M4_WEEKLY_DATASET,35,0.389487,0.4121,-0.022612999999999994
M4_WEEKLY_DATASET,36,0.336923,0.4983,-0.16137700000000005
M4_WEEKLY_DATASET,37,0.705556,0.7056,-4.4000000000044004e-05
M4_WEEKLY_DATASET,38,0.046436,0.0569,-0.010464000000000001
M4_WEEKLY_DATASET,39,0.042737,0.0427,3.699999999999537e-05
M4_WEEKLY_DATASET,40,0.149911,0.1499,1.0999999999983245e-05
M4_WEEKLY_DATASET,41,0.221039,0.221,3.900000000001125e-05
M4_WEEKLY_DATASET,42,0.24622,0.2462,1.9999999999992246e-05
M4_WEEKLY_DATASET,43,0.011727,0.032,-0.020273
M4_WEEKLY_DATASET,44,0.544302,0.5916,-0.04729800000000006
M4_WEEKLY_DATASET,45,0.126724,0.1267,2.3999999999996247e-05
M4_WEEKLY_DATASET,46,0.572116,0.5721,1.599999999990498e-05
M4_WEEKLY_DATASET,47,0.106659,0.114,-0.007341
M4_WEEKLY_DATASET,48,0.561296,0.5613,-4.000000000004e-06
