serie,CREST,CREST sem agente
NN5_WEEKLY_DATASET_60,14.285714285714286,14.285714285714286
NN5_WEEKLY_DATASET_61,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_62,57.142857142857146,71.42857142857143
NN5_WEEKLY_DATASET_63,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_64,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_65,57.142857142857146,42.85714285714285
NN5_WEEKLY_DATASET_66,71.42857142857143,42.85714285714285
NN5_WEEKLY_DATASET_67,42.85714285714285,57.142857142857146
NN5_WEEKLY_DATASET_68,42.85714285714285,57.142857142857146
NN5_WEEKLY_DATASET_69,14.285714285714286,14.285714285714286
NN5_WEEKLY_DATASET_70,42.85714285714285,57.142857142857146
NN5_WEEKLY_DATASET_71,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_72,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_73,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_74,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_75,42.85714285714285,100.0
NN5_WEEKLY_DATASET_76,42.85714285714285,57.142857142857146
NN5_WEEKLY_DATASET_77,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_78,14.285714285714286,14.285714285714286
NN5_WEEKLY_DATASET_79,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_80,0.0,0.0
NN5_WEEKLY_DATASET_81,57.142857142857146,85.71428571428571
NN5_WEEKLY_DATASET_82,57.142857142857146,28.571428571428573
NN5_WEEKLY_DATASET_83,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_84,28.571428571428573,42.85714285714285
NN5_WEEKLY_DATASET_85,71.42857142857143,42.85714285714285
NN5_WEEKLY_DATASET_86,57.142857142857146,71.42857142857143
NN5_WEEKLY_DATASET_87,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_88,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_89,71.42857142857143,28.571428571428573
NN5_WEEKLY_DATASET_90,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_91,71.42857142857143,57.142857142857146
NN5_WEEKLY_DATASET_92,57.142857142857146,71.42857142857143
NN5_WEEKLY_DATASET_93,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_94,0.0,57.142857142857146
NN5_WEEKLY_DATASET_95,57.142857142857146,71.42857142857143
NN5_WEEKLY_DATASET_96,42.85714285714285,57.142857142857146
NN5_WEEKLY_DATASET_97,42.85714285714285,57.142857142857146
NN5_WEEKLY_DATASET_98,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_99,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_100,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_101,14.285714285714286,14.285714285714286
NN5_WEEKLY_DATASET_102,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_103,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_104,57.142857142857146,57.142857142857146
