dataset,dataset_index,iteration,tipo,limite,tamanho,dispara,antigo_json_valido,antigo_corte,atual_json_valido,atual_string_inteira_valida,atual_cabe_no_limite,atual_fallback_nota,atual_tem_marcador_antigo
ANP_MONTHLY,18,3,historico,320,326,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,3,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,3,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,3,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,3,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,3,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,3,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,3,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,3,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,3,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,3,handles,600,415,False,,,,,,,
ANP_MONTHLY,18,3,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,18,3,scratchpad_args,120,182,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,3,ultima_observacao,1400,375,False,,,,,,,
ANP_MONTHLY,18,4,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,4,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,4,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,4,diagnosis,700,480,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,326,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,4,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,4,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,4,handles,600,511,False,,,,,,,
ANP_MONTHLY,18,4,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,18,4,scratchpad_args,120,182,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,4,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,18,4,ultima_observacao,1400,406,False,,,,,,,
ANP_MONTHLY,18,5,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,5,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,5,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,5,diagnosis,700,480,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,326,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,5,historico,320,303,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,5,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,5,handles,600,511,False,,,,,,,
ANP_MONTHLY,18,5,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,18,5,scratchpad_args,120,182,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,5,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,18,5,scratchpad_args,120,160,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,5,ultima_observacao,1400,392,False,,,,,,,
ANP_MONTHLY,18,6,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,6,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,6,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,6,diagnosis,700,480,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,326,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,6,historico,320,303,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,6,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,6,handles,600,511,False,,,,,,,
ANP_MONTHLY,18,6,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,18,6,scratchpad_args,120,182,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,6,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,18,6,scratchpad_args,120,160,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,6,scratchpad_args,120,222,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,6,ultima_observacao,1400,91,False,,,,,,,
ANP_MONTHLY,18,7,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,7,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,7,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,7,diagnosis,700,480,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,326,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,7,historico,320,303,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,7,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,7,handles,600,511,False,,,,,,,
ANP_MONTHLY,18,7,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,18,7,scratchpad_args,120,182,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,7,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,18,7,scratchpad_args,120,160,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,7,scratchpad_args,120,222,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,7,scratchpad_args,120,26,False,,,,,,,
ANP_MONTHLY,18,7,ultima_observacao,1400,613,False,,,,,,,
ANP_MONTHLY,18,8,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,8,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,8,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,8,diagnosis,700,480,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,326,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,8,historico,320,303,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,8,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,8,handles,600,511,False,,,,,,,
ANP_MONTHLY,18,8,scratchpad_args,120,182,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,8,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,18,8,scratchpad_args,120,160,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,8,scratchpad_args,120,222,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,8,scratchpad_args,120,26,False,,,,,,,
ANP_MONTHLY,18,8,scratchpad_args,120,182,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,8,ultima_observacao,1400,91,False,,,,,,,
ANP_MONTHLY,18,9,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,9,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,9,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,9,diagnosis,700,480,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,326,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,9,historico,320,303,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,9,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,9,handles,600,511,False,,,,,,,
ANP_MONTHLY,18,9,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,18,9,scratchpad_args,120,160,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,9,scratchpad_args,120,222,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,9,scratchpad_args,120,26,False,,,,,,,
ANP_MONTHLY,18,9,scratchpad_args,120,182,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,18,9,scratchpad_args,120,20,False,,,,,,,
ANP_MONTHLY,18,9,ultima_observacao,1400,294,False,,,,,,,
